phase,name,is--phase_from,is--phase_to,color,rank
north__from,north__from,TRUE,TRUE,#3eb4d9,11
north__to,north__to,TRUE,TRUE,#3eb4d9,12
middle__from,middle__from,TRUE,TRUE,#319344,13
middle__to,middle__to,TRUE,TRUE,#319344,14
south__from,south__from,TRUE,TRUE,#fbcb63,15
south__to,south__to,TRUE,TRUE,#fbcb63,16
gaza__from,gaza__from,TRUE,TRUE,#f7844a,17
gaza__to,gaza__to,TRUE,TRUE,#f7844a,18
unknown__from,unknown__from,TRUE,TRUE,#bfbfbf,9999999
unknown__to,unknown__to,TRUE,TRUE,#bfbfbf,9999999
unknown__unknown__to,unknown__unknown__to,TRUE,TRUE,#bfbfbf,9999999
camps__from,camps__from,TRUE,TRUE,#905b3f,25
camps__to,camps__to,TRUE,TRUE,#905b3f,26
governorates_centers__from,governorates_centers__from,TRUE,TRUE,#d17a4b,21
governorates_centers__to,governorates_centers__to,TRUE,TRUE,#d17a4b,22
localities_other_than_governorates_centers__from,localities_other_than_governorates_centers__from,TRUE,TRUE,#ddb098,23
localities_other_than_governorates_centers__to,localities_other_than_governorates_centers__to,TRUE,TRUE,#ddb098,24
north__camps__from,north__camps__from,TRUE,TRUE,#3eb4d9,311
north__governorates_centers__to,north__governorates_centers__to,TRUE,TRUE,#3eb4d9,314
north__localities_other_than_governorates_centers__to,north__localities_other_than_governorates_centers__to,TRUE,TRUE,#3eb4d9,315
north__camps__to,north__camps__to,TRUE,TRUE,#3eb4d9,316
north__unknown__to,north__unknown__to,TRUE,TRUE,#bfbfbf,317
middle__camps__from,middle__camps__from,TRUE,TRUE,#319344,321
middle__governorates_centers__to,middle__governorates_centers__to,TRUE,TRUE,#319344,324
middle__localities_other_than_governorates_centers__to,middle__localities_other_than_governorates_centers__to,TRUE,TRUE,#319344,325
middle__camps__to,middle__camps__to,TRUE,TRUE,#319344,326
middle__unknown__to,middle__unknown__to,TRUE,TRUE,#bfbfbf,327
south__camps__from,south__camps__from,TRUE,TRUE,#fbcb63,331
south__governorates_centers__to,south__governorates_centers__to,TRUE,TRUE,#fbcb63,334
south__localities_other_than_governorates_centers__to,south__localities_other_than_governorates_centers__to,TRUE,TRUE,#fbcb63,335
south__camps__to,south__camps__to,TRUE,TRUE,#fbcb63,336
south__unknown__to,south__unknown__to,TRUE,TRUE,#bfbfbf,337
gaza__camps__from,gaza__camps__from,TRUE,TRUE,#f7844a,341
gaza__governorates_centers__to,gaza__governorates_centers__to,TRUE,TRUE,#f7844a,344
gaza__localities_other_than_governorates_centers__to,gaza__localities_other_than_governorates_centers__to,TRUE,TRUE,#f7844a,345
gaza__camps__to,gaza__camps__to,TRUE,TRUE,#f7844a,346
gaza__unknown__to,gaza__unknown__to,TRUE,TRUE,#bfbfbf,347
far_from_the_wall__from,far_from_the_wall__from,TRUE,TRUE,#c380ed,401
far_from_the_wall__to,far_from_the_wall__to,TRUE,TRUE,#c380ed,402
nearby_to_the_wall__from,nearby_to_the_wall__from,TRUE,TRUE,#8a13d4,403
nearby_to_the_wall__to,nearby_to_the_wall__to,TRUE,TRUE,#8a13d4,404
