phase_from,phase_to,year,amount__close_to_the_wall
far_from_the_wall__from,far_from_the_wall__to,2017,46818
far_from_the_wall__from,nearby_to_the_wall__to,2017,6180
far_from_the_wall__from,unknown__to,2017,3057
nearby_to_the_wall__from,far_from_the_wall__to,2017,6405
nearby_to_the_wall__from,nearby_to_the_wall__to,2017,6978
nearby_to_the_wall__from,unknown__to,2017,1093
unknown__from,far_from_the_wall__to,2017,9039
unknown__from,nearby_to_the_wall__to,2017,3761
unknown__from,unknown__to,2017,92
