day,country,value
2021-01-21,ApprovedQs,0.064
2021-01-24,ApprovedQs,0.099
2021-01-25,ApprovedQs,0.11
2021-01-26,ApprovedQs,0.115
2021-01-27,ApprovedQs,0.135
2021-01-28,ApprovedQs,0.139
2021-01-29,ApprovedQs,0.167
2021-01-31,ApprovedQs,0.326
2021-02-01,ApprovedQs,0.366
2021-02-02,ApprovedQs,0.406
2021-02-03,ApprovedQs,0.422
2021-02-04,ApprovedQs,0.422
2021-02-05,ApprovedQs,0.422
2021-02-06,ApprovedQs,0.428
2021-02-08,ApprovedQs,0.455
2021-02-09,ApprovedQs,0.491
2021-02-10,ApprovedQs,0.524
2021-02-11,ApprovedQs,0.551
2021-02-12,ApprovedQs,0.577
2021-02-13,ApprovedQs,0.591
2021-02-14,ApprovedQs,0.596
2021-02-15,ApprovedQs,0.604
2021-02-16,ApprovedQs,0.617
2021-02-17,ApprovedQs,0.631
2021-02-18,ApprovedQs,0.635
2021-02-19,ApprovedQs,0.672
2021-02-20,ApprovedQs,0.745
2021-02-21,ApprovedQs,0.768
2021-02-22,ApprovedQs,0.795
2021-02-23,ApprovedQs,0.815
2021-02-24,ApprovedQs,0.838
2021-02-25,ApprovedQs,0.875
2021-02-26,ApprovedQs,0.904
2021-02-27,ApprovedQs,0.905
2021-03-01,ApprovedQs,0.905
2021-03-02,ApprovedQs,0.905
2021-03-03,ApprovedQs,0.905
2021-03-05,ApprovedQs,0.905
2021-03-06,ApprovedQs,0.905
2021-03-07,ApprovedQs,0.917
2021-03-08,ApprovedQs,0.917
2021-03-09,ApprovedQs,0.924
2021-03-10,ApprovedQs,0.934
2021-03-11,ApprovedQs,0.958
2021-03-12,ApprovedQs,0.958
2021-03-13,ApprovedQs,0.958
2021-03-14,ApprovedQs,1.007
2021-01-21,10qPicked,0.025
2021-01-24,10qPicked,0.07
2021-01-25,10qPicked,0.095
2021-01-26,10qPicked,0.104
2021-01-27,10qPicked,0.124
2021-01-28,10qPicked,0.129
2021-01-29,10qPicked,0.159
2021-01-31,10qPicked,0.174
2021-02-01,10qPicked,0.174
2021-02-02,10qPicked,0.189
2021-02-03,10qPicked,0.199
2021-02-04,10qPicked,0.199
2021-02-05,10qPicked,0.199
2021-02-06,10qPicked,0.204
2021-02-08,10qPicked,0.219
2021-02-09,10qPicked,0.259
