"postnummer","week","postnummer_first_2","population","positivity_1w","adult_pop","cases_per_capita_2w5","test_per_capita_1w5","longitude","latitude"
"74010","26","74XXX","2901","0.0625","2353","42.4989357","679.9829712","18.08304288","59.89219848"
"74011","26","74XXX","727","","590","","1525.423706","17.96635477","59.87174772"
"74012","26","74XXX","1664","","1376","","508.7209167","18.30417364","59.94773109"
"74020","26","74XXX","3287","0.2391304374","2558","430.023468","1798.279907","17.34130813","59.8507134"
"74045","26","74XXX","2117","0.1538461596","1795","111.4206161","724.2340088","16.92600643","60.16589491"
"74046","26","74XXX","3057","0","2547","0","510.4043884","17.19318811","60.20963638"
"74047","26","74XXX","1441","","1196","","585.2843018","17.20174179","60.08593671"
"74130","26","74XXX","832","","684.999939","","729.927063","17.78136519","59.72350065"
"74131","26","74XXX","1128","","840","","476.1904907","17.76793632","59.72481322"
"74139","26","74XXX","569","0.1000000015","522","191.5708771","1915.708862","17.78794771","59.72929068"
"74140","26","74XXX","720","0","618","0","1779.935303","17.79047389","59.72444803"
"74141","26","74XXX","1379","","1057","","851.4664307","17.78842418","59.73321831"
"74142","26","74XXX","2091","0.2352941185","1582.000122","252.8444824","1074.588989","17.80651787","59.73169035"
"74143","26","74XXX","1251","","1009.000061","","891.972168","17.79750397","59.72101846"
"74144","26","74XXX","463","","357","","840.3361206","17.81070926","59.71896969"
"74145","26","74XXX","1256","","795","","628.9308472","17.78672458","59.74920996"
"74146","26","74XXX","1539","","1020","","784.3137207","17.78129367","59.75515922"
"74147","26","74XXX","1239","0.07692307979","810","123.4567871","1604.938232","17.77407803","59.76056245"
"74190","26","74XXX","653","","530","","754.71698","17.82724381","59.71015314"
"74191","26","74XXX","1007","","794","","881.6120605","17.70766135","59.70179218"
"74192","26","74XXX","1525","0","1132","0","883.3922119","17.74160712","59.74819281"
"74193","26","74XXX","603","","480.0000305","","624.999939","17.86194472","59.79362502"
"74194","26","74XXX","709","","558","","179.2114716","17.89722024","59.75721866"
"74195","26","74XXX","1123","","933","","535.9057007","18.01979215","59.76282003"
"74231","26","74XXX","958","0","914","0","1094.091919","18.37878711","60.26207654"
"74232","26","74XXX","694","","571","","1050.788086","18.3691663","60.25306505"
"74234","26","74XXX","1041","","847","","708.3825073","18.35446665","60.25558102"
"74235","26","74XXX","779","","620","","1451.612915","18.35632948","60.26472666"
"74236","26","74XXX","815","","668","","598.8023682","18.38931441","60.25185101"
"74241","26","74XXX","635","","515","","194.1747589","18.45257382","60.33643833"
"74242","26","74XXX","595","","572","","1573.426514","18.4339606","60.33942455"
"74243","26","74XXX","460","","364","","1373.626343","18.42805019","60.32531489"
"74250","26","74XXX","309","","266","","1503.759399","18.46426408","60.16810734"
"74291","26","74XXX","664","","558","","716.8458862","18.54962501","60.22696137"
"74292","26","74XXX","774","","684","","730.9941406","18.30502489","60.24617003"
"74293","26","74XXX","751","","639","","782.4725952","18.34896799","60.32002254"
"74294","26","74XXX","412","","370","","810.810791","18.18673353","60.36700939"
"74295","26","74XXX","276","","249.9999847","","1200.000122","18.39584904","60.13878943"
"74297","26","74XXX","522","","486","","205.761322","18.45240579","60.44350103"
"74330","26","74XXX","1113","","836","","1076.555054","17.70310972","59.96459811"
"74332","26","74XXX","593","","436","","688.0733643","17.68730678","59.95856538"
"74334","26","74XXX","1091","0.1000000015","804","124.3781128","1243.781128","17.69970526","59.95626225"
"74335","26","74XXX","1793","","1275","","549.0195923","17.69114024","59.95077016"
"74340","26","74XXX","1374","0.25","1072","279.8507385","1119.402954","17.72587536","59.95169404"
"74341","26","74XXX","371","","227","","881.057251","17.70310845","59.94783522"
"74345","26","74XXX","821","","558","","1254.480347","17.68047878","59.9419251"
"74350","26","74XXX","1420","0.08333333582","1104","90.57971191","1086.956543","17.73287002","60.01675432"
"74361","26","74XXX","683","","555","","900.9008789","17.56009318","60.03688666"
"74362","26","74XXX","670","","521","","767.7543335","17.54833529","60.03699098"
"74363","26","74XXX","1114","","868","","921.6589966","17.53118723","60.02749108"
