id,time,var,percentage
2,2015w47,0.707077162,100
2,2015w48,1.76461559,99.89245533
2,2015w49,0.888012712,100
2,2015w50,0.317080923,100
2,2015w51,0.609085691,100
2,2015w52,0.375776434,100
2,2015w53,0.03520016,100
2,2016w1,1.08385581,100
2,2016w2,4.324891439,99.77651967
2,2016w3,0.717717528,99.96356651
2,2016w4,0.514554631,100
2,2016w5,0.302519892,100
2,2016w6,0.011549727,100
2,2016w7,0.684096219,100
2,2016w8,0.757356593,100
2,2016w9,1.156507182,100
2,2016w10,0.296201824,100
2,2016w11,0.228911272,100
2,2016w12,0.218998733,100
2,2016w13,0.542300939,100
2,2016w14,0.071826295,100
2,2016w15,0.052107457,99.99326962
2,2016w16,0.170770612,100
2,2016w17,0.035007679,100
2,2016w18,0.038707764,100
2,2016w19,0.148769764,99.99172514
2,2016w20,0.418372938,99.95366616
2,2016w21,0.097139744,100
2,2016w22,0.038908548,100
2,2016w23,0.224891655,99.98091106
2,2016w24,1.081690802,99.98506026
2,2016w25,0.499976984,100
2,2016w26,0.249741157,100
2,2016w27,0.406058118,99.9917224
2,2016w28,0.073465704,100
2,2016w29,0.209081696,100
2,2016w30,0.607670995,99.9867576
2,2016w31,0.704339771,100
2,2016w32,0.081772637,100
2,2016w33,0.335322922,100
2,2016w34,0.51772156,99.98841194
2,2016w35,0.265759148,100
2,2016w36,0.035070476,100
2,2016w37,0.025164029,100
2,2016w38,0.541644482,99.98343905
2,2016w39,0.02842614,100
2,2016w40,0.227962031,100
2,2016w41,0.225891889,100
2,2016w42,0.311040319,100
2,2016w43,2.886241217,100
2,2016w44,0.491756032,100
2,2016w45,0.869907475,100
2,2016w46,0.246140178,100
2,2016w47,0.056363974,100
2,2016w48,0.490305009,100
2,2016w49,0.155460886,100
2,2016w50,0.324760447,100
2,2016w51,0.321728048,100
2,2016w52,0.625915118,100
2,2017w1,0.573393042,100
2,2017w2,0.467933425,100
2,2017w3,0.144446369,100
2,2017w4,0.158828686,100
2,2017w5,0.009389162,100
2,2017w6,0.241018538,100
2,2017w7,3.330358917,99.83274269
2,2017w8,0.71068613,100
2,2017w9,0.126274669,100
2,2017w10,0.119727418,100
2,2017w11,0.281845782,100
2,2017w12,0.248373044,100
2,2017w13,0.273957128,100
2,2017w14,0.368450365,100
2,2017w16,0.270312206,100
2,2017w17,0.25116814,100
2,2017w18,0.026580506,100
2,2017w19,0.116029882,100
2,2017w20,0.359804236,100
2,2017w21,0.164555314,100
2,2017w22,0.568406282,100
2,2017w23,0.874660918,99.97845113
2,2017w24,0.07125144,100
2,2017w25,0.244400197,100
2,2017w26,0.024066993,100
2,2017w27,0.425575204,99.95027926
2,2017w28,0.352364421,100
2,2017w29,0.099620513,100
2,2017w30,0.248264098,100
2,2017w31,0.333997093,100
2,2017w32,0.427813578,100
2,2017w33,0.32580941,100
2,2017w34,0.59192428,99.97514746
2,2017w35,0.159256707,100
2,2017w36,0.722124615,99.99006359
2,2017w37,0.543764597,100
2,2017w38,0.166971776,100
2,2017w39,0.395229226,100
2,2017w40,0.402256088,100
2,2017w41,0.805356628,99.99668967
2,2017w42,0.452383409,100
2,2017w43,0.807347762,100
2,2017w44,0.188787858,100
2,2017w45,0.267543493,100
2,2017w46,0.260960056,100
2,2017w47,0.772592595,99.96856491
2,2017w48,0.81205643,100
2,2017w49,0.600800455,100
2,2017w50,2.594238227,100
2,2017w51,0.721261764,100
2,2017w52,0.874658168,100
2,2018w1,0.362201377,100
2,2018w2,0.200360891,100
2,2018w3,0.247879088,100
2,2018w4,0.786185514,100
2,2018w5,0.4383556,100
2,2018w6,1.263614102,99.95866402
2,2018w7,0.193535366,100
2,2018w8,0.028507911,100
2,2018w9,0.022968226,100
2,2018w10,0.606576894,100
2,2018w11,0.049326828,100
2,2018w12,1.947087261,100
2,2018w13,0.030079595,100
2,2018w14,0.353487583,100
2,2018w15,0.10506721,100
3,2015w16,0.016449157,100
3,2015w17,0.218068817,100
3,2015w18,0.452687646,100
3,2015w19,0.204825206,100
3,2015w20,0.134170324,100
3,2015w21,0.22890923,100
3,2015w22,0.638175169,99.99172925
3,2015w23,0.050906687,100
3,2015w24,0.563910585,100
3,2015w25,0.184125043,100
3,2015w26,0.09849491,100
3,2015w27,0.252527028,100
3,2015w28,0.044885875,100
3,2015w29,0.111995138,100
3,2015w30,0.610529793,99.99172774
3,2015w31,0.17157855,100
3,2015w32,0.06665455,100
3,2015w33,0.118921063,100
3,2015w34,0.948865974,100
3,2015w35,0.365263792,100
3,2015w36,0.440982105,99.98841347
3,2015w37,0.555186983,100
3,2015w38,0.737092797,100
3,2015w39,1.068785757,100
3,2015w40,0.349444094,100
3,2015w41,0.349070762,100
3,2015w42,2.150840425,100
3,2015w43,0.286057629,100
3,2015w44,0.244912802,100
3,2015w45,0.524052247,100
3,2015w46,0.275678833,100
3,2015w47,0.443193827,100
3,2015w48,1.737706307,100
3,2015w49,0.953950249,100
3,2015w50,0.264867118,100
3,2015w51,0.348723053,100
3,2015w52,0.131903527,100
3,2015w53,0.031033969,100
3,2016w1,1.171765761,100
3,2016w2,1.869681386,100
3,2016w3,0.675979084,100
3,2016w4,1.874578842,99.95194459
3,2016w5,0.28886688,100
3,2016w6,0.119365468,100
3,2016w7,6.570066065,99.23731348
3,2016w8,0.866737235,100
3,2016w9,2.939445053,100
3,2016w10,0.101211565,100
3,2016w11,0.179757347,100
3,2016w12,0.214428222,100
3,2016w13,0.477635329,100
3,2016w14,0.305187002,100
3,2016w15,0.152442215,100
3,2016w16,0.22080825,100
3,2016w17,0.201296309,100
3,2016w18,0.199818601,100
3,2016w19,0.322332087,100
3,2016w20,0.329010345,99.99337836
3,2016w21,0.256529165,100
3,2016w22,0.134966146,100
3,2016w23,0.20063732,100
3,2016w24,0.919185395,99.99336122
3,2016w25,0.491766782,100
3,2016w26,0.221038847,100
3,2016w27,0.406272985,99.9768139
3,2016w28,0.238516076,100
3,2016w29,0.233213702,100
3,2016w30,0.500945714,100
3,2016w31,0.590591902,99.98950829
3,2016w32,0.384916185,100
3,2016w33,0.705625722,100
3,2016w34,0.883332595,99.96688961
3,2016w35,0.351137139,100
3,2016w36,0.373336871,100
3,2016w37,0.218359206,100
3,2016w38,0.465268544,100
3,2016w39,0.065698605,100
3,2016w40,0.190398522,100
3,2016w41,0.265792538,100
3,2016w42,0.270009583,100
3,2016w43,1.112528659,100
3,2016w44,0.132676121,100
3,2016w45,0.723688352,100
3,2016w46,26.91672362,99.98482165
3,2016w47,0.229531564,100
3,2016w48,0.733313515,100
3,2016w49,0.20326592,100
3,2016w50,0.366308434,100
3,2016w51,0.378018984,100
3,2016w52,0.917328656,100
3,2017w1,1.370321325,100
3,2017w2,0.380719999,99.99337463
3,2017w3,0.135004558,100
3,2017w4,0.133816858,100
3,2017w5,0.064446006,100
3,2017w6,0.24743407,100
3,2017w7,8.064288882,99.97349853
