phase,name,is--phase_from,is--phase_to,color
coal_peat_and_oil_shale,"Coal, peat and oil shale",TRUE,TRUE,#ff7f0e
crude_ngl_and_feed_stocks,Crude Oil,TRUE,TRUE,#2ca02c
oil_products,Oil Products,TRUE,TRUE,#d62728
natural_gas,Natural Gas,TRUE,TRUE,#9467bd
nuclear,Nuclear,TRUE,TRUE,#8c564b
renewables_and_waste,Renewables and Waste,TRUE,TRUE,#e377c2
electricity,Electricity,TRUE,TRUE,#7f7f7f
heat,Heat,TRUE,TRUE,#bcbd22
fossil_fuels,Fossil Fuls,TRUE,TRUE,#17becf
renewable_sources,Renewable Resources,TRUE,TRUE,#1f77b4
chp_plants_ktoe,CHP Plants,TRUE,TRUE,#ff7f0e
electricity_output_gwh,Electricity Output,TRUE,TRUE,#2ca02c
electricity_plants_ktoe,Electricity Plants,TRUE,TRUE,#d62728
exports_ktoe,Exports,TRUE,TRUE,#9467bd
heat_plants_ktoe,Heat,TRUE,TRUE,#8c564b
imports_ktoe,Imports,TRUE,TRUE,#e377c2
industry_ktoe,Industry,TRUE,TRUE,#7f7f7f
of_which_commerce_and_public_services_ktoe,Commerce,TRUE,TRUE,#bcbd22
of_which_residential_ktoe,Residential,TRUE,TRUE,#17becf
oil_refineries_transformation_ktoe,Oil Refineries,TRUE,TRUE,#1f77b4
other_ktoe,Other,TRUE,TRUE,#ff7f0e
production_ktoe,Production,TRUE,TRUE,#2ca02c
transport_ktoe,Transport,TRUE,TRUE,#d62728
